chromosome	feature_start	feature_end	feature_id	feature_strand	feature_length	isize	nr_deviant	absence_start	absence_end	cov_mean	cov_stdev
Bd1	86604	87943	RLX_unknown_Bd1-21,ident_perc:=98.0,cov_perc:=19.0,tsd_len:=6,name_orig:=Bd4_RLX_3,class:=RLX	+	1339	1465	9	86603	87970	11	8
Bd1	1059933	1060051	DTT_Stowaway_A_Bd1-193,tsd_len:=2,name_orig:=DTT_Stowaway_A_Bd1-193,class:=DTT	+	118	717	1	1059694	1060568	2	4
Bd1	1201494	1205137	RLG_unknown_Bd1-115,ident_perc:=86.0,cov_perc:=22.0,name_orig:=Bd4_RLG_59,class:=RLG	+	3643	3710.0	24	1205785	1205135	3	5
Bd1	1254341	1255345	RLC_unknown_Bd1-127,ident_perc:=87.0,cov_perc:=15.0,tsd_len:=0,name_orig:=Bd5_RLC_9,class:=RLC	-	1004	1166.0	30	1254315	1255345	9	8
Bd1	1798466	1799783	RLG_unknown_Bd1-137,ident_perc:=98.0,cov_perc:=10.0,name_orig:=Bd5_RLG_4,class:=RLG	+	1317	1599	5	1798454	1799807	20	18
Bd1	1937345	1940473	RIX_noname_Bd1-17,tsd_len:=1,name_orig:=RIX_noname_Bd1-17,class:=RIX	+	3128	3478	37	1937243	1940565	25	17
Bd1	2347501	2348842	RLX_unknown_Bd1-75,ident_perc:=99.0,cov_perc:=19.0,tsd_len:=5,name_orig:=Bd4_RLX_3,class:=RLX	-	1341	1406.5	26	2347500	2348843	11	6
Bd1	2802171	2803515	RLX_unknown_Bd1-91,ident_perc:=98.0,cov_perc:=19.0,tsd_len:=0,name_orig:=Bd4_RLX_3,class:=RLX	-	1344	1559	21	2802176	2803516	15	11
Bd1	3551757	3553082	RLC_unknown_Bd1-180,ident_perc:=99.0,cov_perc:=16.0,tsd_len:=6,name_orig:=Bd2_RLC_14,class:=RLC	+	1325	1468	3	3551708	3553082	17	12
Bd1	4366035	4368549	RLC_unknown_Bd1-199,ident_perc:=94.0,cov_perc:=24.0,name_orig:=Bd2_RLC_29,class:=RLC	-	2514	3063.0	8	4368516	4359780	22	12
Bd1	4368574	4371106	RIX_noname_Bd1-32,tsd_len:=0,name_orig:=RIX_noname_Bd1-32,class:=RIX	-	2532	3063.0	8	4368516	4359780	5	7
Bd1	5497594	5498932	RLX_unknown_Bd1-166,ident_perc:=99.0,cov_perc:=19.0,tsd_len:=0,name_orig:=Bd4_RLX_3,class:=RLX	+	1338	1561	11	5497549	5498932	9	6
Bd1	5743732	5744266	RLX_unknown_Bd1-171,ident_perc:=87.0,cov_perc:=2.0,name_orig:=Bd1_RLX_8,class:=RLX	+	534	772	3	5743743	5744470	9	7
